sport;year;state;gp;bp;gr;br;Row ;Column
Bass Fishing;2017/2018;HI;0;0;0;0;8;0,5
Archery;2017/2018;HI;0;0;0;0;8;0,5
Dance Team, High Kick;2017/2018;HI;0;0;0;0;8;0,5
Bocce - Outdoor;2017/2018;HI;0;0;0;0;8;0,5
Cycling;2017/2018;HI;0;0;0;0;8;0,5
Figure Skating;2017/2018;HI;0;0;0;0;8;0,5
Adapted Volleyball;2017/2018;HI;0;0;0;0;8;0,5
Rodeo;2017/2018;HI;0;0;0;0;8;0,5
Skiing -- Alpine;2017/2018;HI;0;0;0;0;8;0,5
Roller Hockey;2017/2018;HI;0;0;0;0;8;0,5
Mt. Biking;2017/2018;HI;0;0;0;0;8;0,5
Adapted Bowling;2017/2018;HI;0;0;0;0;8;0,5
Football -- 9-player;2017/2018;HI;0;0;0;0;8;0,5
Dance Team, Jazz;2017/2018;HI;0;0;0;0;8;0,5
Adapted Track;2017/2018;HI;0;0;0;0;8;0,5
Track and Field -- Indoor;2017/2018;HI;0;0;0;0;8;0,5
Lacrosse;2017/2018;HI;0;0;0;0;8;0,5
Rock Climbing;2017/2018;HI;0;0;0;0;8;0,5
Synchronized Swimming;2017/2018;HI;0;0;0;0;8;0,5
Martial Arts;2017/2018;HI;0;0;0;0;8;0,5
Ultimate Frisbee;2017/2018;HI;0;0;0;0;8;0,5
Fencing;2017/2018;HI;0;0;0;0;8;0,5
Rythmic Gymnastics;2017/2018;HI;0;0;0;0;8;0,5
sailing;2017/2018;HI;0;0;0;0;8;0,5
Dance/Drill;2017/2018;HI;0;0;0;0;8;0,5
Beach Volleyball;2017/2018;HI;0;0;0;0;8;0,5
Riflery;2017/2018;HI;0;0;0;0;8;0,5
Weight Lifting;2017/2018;HI;0;0;0;0;8;0,5
Pentathlon;2017/2018;HI;0;0;0;0;8;0,5
Heptathlon;2017/2018;HI;0;0;0;0;8;0,5
Adaptive Handball;2017/2018;HI;0;0;0;0;8;0,5
RUGBY;2017/2018;HI;0;0;0;0;8;0,5
Field Hockey;2017/2018;HI;0;0;0;0;8;0,5
Crew;2017/2018;HI;0;0;0;0;8;0,5
Squash;2017/2018;HI;0;0;0;0;8;0,5
Adaptive Strength Training;2017/2018;HI;0;0;0;0;8;0,5
Snowboarding;2017/2018;HI;0;0;0;0;8;0,5
Softball -- Slow Pitch;2017/2018;HI;0;0;0;0;8;0,5
Adapted Floor Hockey;2017/2018;HI;0;0;0;0;8;0,5
Sand Volleyball;2017/2018;HI;0;0;0;0;8;0,5
Adapted Softball;2017/2018;HI;0;0;0;0;8;0,5
Adapted Bocce - Indoor;2017/2018;HI;0;0;0;0;8;0,5
Badminton;2017/2018;HI;0;0;0;0;8;0,5
Adapted Soccer;2017/2018;HI;0;0;0;0;8;0,5
Equestrian;2017/2018;HI;0;0;0;0;8;0,5
Flag Football;2017/2018;HI;0;0;0;0;8;0,5
Gymnastics;2017/2018;HI;0;0;0;0;8;0,5
Mixed 6-Coed Volleyball;2017/2018;HI;0;0;0;0;8;0,5
Skiing -- Cross Country;2017/2018;HI;0;0;0;0;8;0,5
Adapted Basketball;2017/2018;HI;0;0;0;0;8;0,5
Adaptive Corn Toss;2017/2018;HI;0;0;0;0;8;0,5
Football -- 6-player;2017/2018;HI;0;0;0;0;8;0,5
Adaptive Tennis;2017/2018;HI;0;0;0;0;8;0,5
Adaptive Golf;2017/2018;HI;0;0;0;0;8;0,5
DANCE;2017/2018;HI;0;0;0;0;8;0,5
Decathlon;2017/2018;HI;0;0;0;0;8;0,5
Drill Team;2017/2018;HI;0;0;0;0;8;0,5
Ice Hockey;2017/2018;HI;0;0;0;0;8;0,5
Trap Shooting;2017/2018;HI;0;0;0;0;8;0,5
Volleyball;2017/2018;IA;10806;505;0,191786171;0,006106704;3;5
Track and Field -- Outdoor;2017/2018;IA;10013;12228;0,177711913;0,147866886;3;5
Softball -- Fast Pitch;2017/2018;IA;7465;425;0,132489706;0,005139305;3;5
Basketball;2017/2018;IA;7414;11441;0,131584552;0,138350102;3;5
Soccer;2017/2018;IA;5610;6623;0,099566946;0,080088517;3;5
Cross Country;2017/2018;IA;4799;5689;0,085173222;0,068794138;3;5
Tennis;2017/2018;IA;3573;2482;0,063414028;0,030013544;3;5
Golf;2017/2018;IA;3325;4804;0,059012495;0,05809229;3;5
Swimming & Diving;2017/2018;IA;1668;1478;0,029603862;0,01787269;3;5
Bowling;2017/2018;IA;1348;1848;0,023924464;0,022346909;3;5
Wrestling;2017/2018;IA;210;6406;0,003727105;0,077464448;3;5
Football -- 11-Player;2017/2018;IA;93;16785;0,001650575;0,202972332;3;5
Baseball;2017/2018;IA;15;10463;0,000266222;0,126523653;3;5
Football -- 8-player;2017/2018;IA;5;1519;8,87406E-05;0,018368482;3;5
sailing;2017/2018;IA;0;0;0;0;3;5
Gymnastics;2017/2018;IA;0;0;0;0;3;5
RUGBY;2017/2018;IA;0;0;0;0;3;5
Riflery;2017/2018;IA;0;0;0;0;3;5
Adapted Volleyball;2017/2018;IA;0;0;0;0;3;5
Snowboarding;2017/2018;IA;0;0;0;0;3;5
Bocce - Outdoor;2017/2018;IA;0;0;0;0;3;5
Competitive Spirit Squad;2017/2018;IA;0;0;0;0;3;5
Skiing -- Alpine;2017/2018;IA;0;0;0;0;3;5
Adaptive Golf;2017/2018;IA;0;0;0;0;3;5
Dance Team, High Kick;2017/2018;IA;0;0;0;0;3;5
Football -- 9-player;2017/2018;IA;0;0;0;0;3;5
Badminton;2017/2018;IA;0;0;0;0;3;5
Rodeo;2017/2018;IA;0;0;0;0;3;5
Weight Lifting;2017/2018;IA;0;0;0;0;3;5
Adaptive Corn Toss;2017/2018;IA;0;0;0;0;3;5
Track and Field -- Indoor;2017/2018;IA;0;0;0;0;3;5
Unified Flag Football;2017/2018;IA;0;0;0;0;3;5
Crew;2017/2018;IA;0;0;0;0;3;5
Adapted Floor Hockey;2017/2018;IA;0;0;0;0;3;5
Fencing;2017/2018;IA;0;0;0;0;3;5
Flag Football;2017/2018;IA;0;0;0;0;3;5
Adaptive Strength Training;2017/2018;IA;0;0;0;0;3;5
Adaptive Handball;2017/2018;IA;0;0;0;0;3;5
Rock Climbing;2017/2018;IA;0;0;0;0;3;5
Equestrian;2017/2018;IA;0;0;0;0;3;5
Adapted Soccer;2017/2018;IA;0;0;0;0;3;5
Rythmic Gymnastics;2017/2018;IA;0;0;0;0;3;5
Pentathlon;2017/2018;IA;0;0;0;0;3;5
Adapted Basketball;2017/2018;IA;0;0;0;0;3;5
Skiing -- Cross Country;2017/2018;IA;0;0;0;0;3;5
Beach Volleyball;2017/2018;IA;0;0;0;0;3;5
Adapted Bocce - Indoor;2017/2018;IA;0;0;0;0;3;5
Unified Track and Field -- Outdoor;2017/2018;IA;0;0;0;0;3;5
Canoe Paddling;2017/2018;IA;0;0;0;0;3;5
Ice Hockey;2017/2018;IA;0;0;0;0;3;5
Bass Fishing;2017/2018;IA;0;0;0;0;3;5
Cycling;2017/2018;IA;0;0;0;0;3;5
Air Riflery;2017/2018;IA;0;0;0;0;3;5
Martial Arts;2017/2018;IA;0;0;0;0;3;5
Archery;2017/2018;IA;0;0;0;0;3;5
Ultimate Frisbee;2017/2018;IA;0;0;0;0;3;5
Football -- 6-player;2017/2018;IA;0;0;0;0;3;5
Figure Skating;2017/2018;IA;0;0;0;0;3;5
Kayaking;2017/2018;IA;0;0;0;0;3;5
Decathlon;2017/2018;IA;0;0;0;0;3;5
Lacrosse;2017/2018;IA;0;0;0;0;3;5
Dance Team, Jazz;2017/2018;IA;0;0;0;0;3;5
Mixed 6-Coed Volleyball;2017/2018;IA;0;0;0;0;3;5
Adapted Softball;2017/2018;IA;0;0;0;0;3;5
Native Youth Olympics;2017/2018;IA;0;0;0;0;3;5
Trap Shooting;2017/2018;IA;0;0;0;0;3;5
Roller Hockey;2017/2018;IA;0;0;0;0;3;5
Team Tennis;2017/2018;IA;0;0;0;0;3;5
Squash;2017/2018;IA;0;0;0;0;3;5
Judo;2017/2018;IA;0;0;0;0;3;5
Drill Team;2017/2018;IA;0;0;0;0;3;5
Adapted Bowling;2017/2018;IA;0;0;0;0;3;5
Adapted Track;2017/2018;IA;0;0;0;0;3;5
Dance/Drill;2017/2018;IA;0;0;0;0;3;5
Field Hockey;2017/2018;IA;0;0;0;0;3;5
Heptathlon;2017/2018;IA;0;0;0;0;3;5
Softball -- Slow Pitch;2017/2018;IA;0;0;0;0;3;5
Soft Tennis;2017/2018;IA;0;0;0;0;3;5
Water Polo;2017/2018;IA;0;0;0;0;3;5
Sand Volleyball;2017/2018;IA;0;0;0;0;3;5
Mt. Biking;2017/2018;IA;0;0;0;0;3;5
DANCE;2017/2018;IA;0;0;0;0;3;5
Adaptive Tennis;2017/2018;IA;0;0;0;0;3;5
Synchronized Swimming;2017/2018;IA;0;0;0;0;3;5
Surfing;2017/2018;IA;0;0;0;0;3;5
Volleyball;2017/2018;ID;3771;0;0,175755034;0;3;2
Track and Field -- Outdoor;2017/2018;ID;3567;3388;0,166247204;0,126205997;3;2
Basketball;2017/2018;ID;3349;3824;0,156086875;0,142447383;3;2
Soccer;2017/2018;ID;2172;2102;0,101230425;0,07830136;3;2
Softball -- Fast Pitch;2017/2018;ID;2163;0;0,100810962;0;3;2
Competitive Spirit Squad;2017/2018;ID;1537;128;0,071634974;0,004768113;3;2
Cross Country;2017/2018;ID;1467;2011;0,068372483;0,074911529;3;2
Tennis;2017/2018;ID;1208;1207;0,056301268;0,044961818;3;2
DANCE;2017/2018;ID;839;21;0,039103281;0,000782269;3;2
Swimming & Diving;2017/2018;ID;650;506;0,030294556;0,018848948;3;2
Golf;2017/2018;ID;604;980;0,028150634;0,036505867;3;2
Wrestling;2017/2018;ID;93;2445;0,004334452;0,091078413;3;2
Football -- 11-Player;2017/2018;ID;36;6730;0,001677852;0,250698454;3;2
Track and Field -- Indoor;2017/2018;ID;0;0;0;0;3;2
Figure Skating;2017/2018;ID;0;0;0;0;3;2
Ultimate Frisbee;2017/2018;ID;0;0;0;0;3;2
Football -- 6-player;2017/2018;ID;0;0;0;0;3;2
Badminton;2017/2018;ID;0;0;0;0;3;2
Water Polo;2017/2018;ID;0;0;0;0;3;2
Adaptive Corn Toss;2017/2018;ID;0;0;0;0;3;2
Adapted Track;2017/2018;ID;0;0;0;0;3;2
Judo;2017/2018;ID;0;0;0;0;3;2
Adapted Bowling;2017/2018;ID;0;0;0;0;3;2
sailing;2017/2018;ID;0;0;0;0;3;2
Cycling;2017/2018;ID;0;0;0;0;3;2
Decathlon;2017/2018;ID;0;0;0;0;3;2
Unified Track and Field -- Outdoor;2017/2018;ID;0;0;0;0;3;2
Beach Volleyball;2017/2018;ID;0;0;0;0;3;2
Snowboarding;2017/2018;ID;0;0;0;0;3;2
Air Riflery;2017/2018;ID;0;0;0;0;3;2
Sand Volleyball;2017/2018;ID;0;0;0;0;3;2
Ice Hockey;2017/2018;ID;0;0;0;0;3;2
Drill Team;2017/2018;ID;0;0;0;0;3;2
Roller Hockey;2017/2018;ID;0;0;0;0;3;2
Dance Team, High Kick;2017/2018;ID;0;0;0;0;3;2
RUGBY;2017/2018;ID;0;0;0;0;3;2
Archery;2017/2018;ID;0;0;0;0;3;2
Softball -- Slow Pitch;2017/2018;ID;0;0;0;0;3;2
Bass Fishing;2017/2018;ID;0;0;0;0;3;2
Soft Tennis;2017/2018;ID;0;0;0;0;3;2
Adaptive Tennis;2017/2018;ID;0;0;0;0;3;2
Gymnastics;2017/2018;ID;0;0;0;0;3;2
Bocce - Outdoor;2017/2018;ID;0;0;0;0;3;2
Pentathlon;2017/2018;ID;0;0;0;0;3;2
Field Hockey;2017/2018;ID;0;0;0;0;3;2
Canoe Paddling;2017/2018;ID;0;0;0;0;3;2
Football -- 8-player;2017/2018;ID;0;947;0;0,035276588;3;2
Adapted Softball;2017/2018;ID;0;0;0;0;3;2
Lacrosse;2017/2018;ID;0;0;0;0;3;2
Riflery;2017/2018;ID;0;0;0;0;3;2
Martial Arts;2017/2018;ID;0;0;0;0;3;2
Adapted Bocce - Indoor;2017/2018;ID;0;0;0;0;3;2
Weight Lifting;2017/2018;ID;0;0;0;0;3;2
Dance/Drill;2017/2018;ID;0;0;0;0;3;2
Mt. Biking;2017/2018;ID;0;0;0;0;3;2
Trap Shooting;2017/2018;ID;0;0;0;0;3;2
Mixed 6-Coed Volleyball;2017/2018;ID;0;0;0;0;3;2
Kayaking;2017/2018;ID;0;0;0;0;3;2
Fencing;2017/2018;ID;0;0;0;0;3;2
Adapted Volleyball;2017/2018;ID;0;0;0;0;3;2
Dance Team, Jazz;2017/2018;ID;0;0;0;0;3;2
Crew;2017/2018;ID;0;0;0;0;3;2
Bowling;2017/2018;ID;0;0;0;0;3;2
Adaptive Golf;2017/2018;ID;0;0;0;0;3;2
Adaptive Handball;2017/2018;ID;0;0;0;0;3;2
Unified Flag Football;2017/2018;ID;0;0;0;0;3;2
Adapted Soccer;2017/2018;ID;0;0;0;0;3;2
Skiing -- Alpine;2017/2018;ID;0;0;0;0;3;2
Adapted Floor Hockey;2017/2018;ID;0;0;0;0;3;2
Skiing -- Cross Country;2017/2018;ID;0;0;0;0;3;2
Team Tennis;2017/2018;ID;0;0;0;0;3;2
Rythmic Gymnastics;2017/2018;ID;0;0;0;0;3;2
Surfing;2017/2018;ID;0;0;0;0;3;2
Rock Climbing;2017/2018;ID;0;0;0;0;3;2
Heptathlon;2017/2018;ID;0;0;0;0;3;2
Native Youth Olympics;2017/2018;ID;0;0;0;0;3;2
Football -- 9-player;2017/2018;ID;0;0;0;0;3;2
Equestrian;2017/2018;ID;0;0;0;0;3;2
Baseball;2017/2018;ID;0;2556;0;0,095213261;3;2
Flag Football;2017/2018;ID;0;0;0;0;3;2
Synchronized Swimming;2017/2018;ID;0;0;0;0;3;2
Squash;2017/2018;ID;0;0;0;0;3;2
Rodeo;2017/2018;ID;0;0;0;0;3;2
Adaptive Strength Training;2017/2018;ID;0;0;0;0;3;2
Adapted Basketball;2017/2018;ID;0;0;0;0;3;2
Volleyball;2017/2018;IL;21961;6976;0,152950927;0,035725626;3;6
Track and Field -- Outdoor;2017/2018;IL;19670;24973;0,136994888;0,127892209;3;6
Basketball;2017/2018;IL;16399;24244;0,114213481;0,12415884;3;6
Soccer;2017/2018;IL;16334;20877;0,113760778;0,106915694;3;6
Softball -- Fast Pitch;2017/2018;IL;14269;0;0,099378752;0;3;6
Cross Country;2017/2018;IL;10653;11665;0,074194537;0,059739023;3;6
Tennis;2017/2018;IL;8096;6598;0,056385898;0,033789805;3;6
Swimming & Diving;2017/2018;IL;7105;6587;0,049483919;0,033733471;3;6
Competitive Spirit Squad;2017/2018;IL;6592;0;0,045911047;0;3;6
DANCE;2017/2018;IL;4471;0;0,031139001;0;3;6
Golf;2017/2018;IL;4107;7275;0,028603864;0,03725687;3;6
Badminton;2017/2018;IL;3980;0;0,027719352;0;3;6
Bowling;2017/2018;IL;3098;2789;0,021576521;0,014283081;3;6
Lacrosse;2017/2018;IL;3029;3787;0,021095959;0,019394057;3;6
Gymnastics;2017/2018;IL;1920;1380;0,01337215;0,007067283;3;6
Water Polo;2017/2018;IL;1892;1985;0,013177139;0,01016562;3;6
Adapted Track;2017/2018;IL;4;9;2,78586E-05;4,6091E-05;3;6
Adapted Bowling;2017/2018;IL;2;0;1,39293E-05;0;3;6
Beach Volleyball;2017/2018;IL;0;0;0;0;3;6
Figure Skating;2017/2018;IL;0;0;0;0;3;6
Field Hockey;2017/2018;IL;0;0;0;0;3;6
Fencing;2017/2018;IL;0;0;0;0;3;6
Martial Arts;2017/2018;IL;0;0;0;0;3;6
Pentathlon;2017/2018;IL;0;0;0;0;3;6
Synchronized Swimming;2017/2018;IL;0;0;0;0;3;6
Crew;2017/2018;IL;0;0;0;0;3;6
Sand Volleyball;2017/2018;IL;0;0;0;0;3;6
Dance Team, High Kick;2017/2018;IL;0;0;0;0;3;6
Unified Flag Football;2017/2018;IL;0;0;0;0;3;6
Trap Shooting;2017/2018;IL;0;0;0;0;3;6
Adaptive Golf;2017/2018;IL;0;0;0;0;3;6
Adaptive Tennis;2017/2018;IL;0;0;0;0;3;6
Track and Field -- Indoor;2017/2018;IL;0;0;0;0;3;6
Dance Team, Jazz;2017/2018;IL;0;0;0;0;3;6
Flag Football;2017/2018;IL;0;0;0;0;3;6
Adapted Softball;2017/2018;IL;0;0;0;0;3;6
Equestrian;2017/2018;IL;0;0;0;0;3;6
Snowboarding;2017/2018;IL;0;0;0;0;3;6
Bocce - Outdoor;2017/2018;IL;0;0;0;0;3;6
Bass Fishing;2017/2018;IL;0;0;0;0;3;6
sailing;2017/2018;IL;0;0;0;0;3;6
Rodeo;2017/2018;IL;0;0;0;0;3;6
Adaptive Handball;2017/2018;IL;0;0;0;0;3;6
Adaptive Corn Toss;2017/2018;IL;0;0;0;0;3;6
Adapted Bocce - Indoor;2017/2018;IL;0;0;0;0;3;6
Softball -- Slow Pitch;2017/2018;IL;0;0;0;0;3;6
Cycling;2017/2018;IL;0;0;0;0;3;6
Adaptive Strength Training;2017/2018;IL;0;0;0;0;3;6
Native Youth Olympics;2017/2018;IL;0;0;0;0;3;6
Soft Tennis;2017/2018;IL;0;0;0;0;3;6
Air Riflery;2017/2018;IL;0;0;0;0;3;6
Drill Team;2017/2018;IL;0;0;0;0;3;6
RUGBY;2017/2018;IL;0;0;0;0;3;6
Roller Hockey;2017/2018;IL;0;0;0;0;3;6
Dance/Drill;2017/2018;IL;0;0;0;0;3;6
Skiing -- Cross Country;2017/2018;IL;0;0;0;0;3;6
Judo;2017/2018;IL;0;0;0;0;3;6
Football -- 8-player;2017/2018;IL;0;0;0;0;3;6
Weight Lifting;2017/2018;IL;0;0;0;0;3;6
Adapted Soccer;2017/2018;IL;0;0;0;0;3;6
Unified Track and Field -- Outdoor;2017/2018;IL;0;0;0;0;3;6
Skiing -- Alpine;2017/2018;IL;0;0;0;0;3;6
Decathlon;2017/2018;IL;0;0;0;0;3;6
Rythmic Gymnastics;2017/2018;IL;0;0;0;0;3;6
Baseball;2017/2018;IL;0;22289;0;0,114146856;3;6
Rock Climbing;2017/2018;IL;0;0;0;0;3;6
Mixed 6-Coed Volleyball;2017/2018;IL;0;0;0;0;3;6
Football -- 6-player;2017/2018;IL;0;0;0;0;3;6
Football -- 9-player;2017/2018;IL;0;0;0;0;3;6
Football -- 11-Player;2017/2018;IL;0;40111;0;0,205417226;3;6
Heptathlon;2017/2018;IL;0;0;0;0;3;6
Ice Hockey;2017/2018;IL;0;0;0;0;3;6
Kayaking;2017/2018;IL;0;0;0;0;3;6
Mt. Biking;2017/2018;IL;0;0;0;0;3;6
Team Tennis;2017/2018;IL;0;0;0;0;3;6
Ultimate Frisbee;2017/2018;IL;0;0;0;0;3;6
Squash;2017/2018;IL;0;0;0;0;3;6
Adapted Volleyball;2017/2018;IL;0;0;0;0;3;6
Adapted Floor Hockey;2017/2018;IL;0;0;0;0;3;6
Wrestling;2017/2018;IL;0;13721;0;0,070268249;3;6
Surfing;2017/2018;IL;0;0;0;0;3;6
Riflery;2017/2018;IL;0;0;0;0;3;6
Adapted Basketball;2017/2018;IL;0;0;0;0;3;6
Archery;2017/2018;IL;0;0;0;0;3;6
Canoe Paddling;2017/2018;IL;0;0;0;0;3;6
Track and Field -- Outdoor;2017/2018;IN;10784;13730;0,171490363;0,152779632;3;7
Volleyball;2017/2018;IN;9438;0;0,150085872;0;3;7
Softball -- Fast Pitch;2017/2018;IN;7923;0;0,125993894;0;3;7
Basketball;2017/2018;IN;7839;11111;0,124658101;0,12363689;3;7
Soccer;2017/2018;IN;7498;9135;0,119235418;0,101649085;3;7
Tennis;2017/2018;IN;6052;4518;0,096240697;0,050273735;3;7
Cross Country;2017/2018;IN;4664;5543;0,07416831;0,061679352;3;7
Swimming & Diving;2017/2018;IN;4435;3549;0,070526684;0,039491254;3;7
Golf;2017/2018;IN;2462;3613;0,039151453;0,040203409;3;7
Unified Track and Field -- Outdoor;2017/2018;IN;849;849;0,01350105;0,009447189;3;7
Gymnastics;2017/2018;IN;604;0;0,009604987;0;3;7
Wrestling;2017/2018;IN;217;6458;0,003450798;0,071860952;3;7
Baseball;2017/2018;IN;75;10513;0,001192672;0,116982686;3;7
Football -- 11-Player;2017/2018;IN;44;20849;0,000699701;0,231995816;3;7
Martial Arts;2017/2018;IN;0;0;0;0;3;7
Squash;2017/2018;IN;0;0;0;0;3;7
Rodeo;2017/2018;IN;0;0;0;0;3;7
Kayaking;2017/2018;IN;0;0;0;0;3;7
Unified Flag Football;2017/2018;IN;0;0;0;0;3;7
Equestrian;2017/2018;IN;0;0;0;0;3;7
Native Youth Olympics;2017/2018;IN;0;0;0;0;3;7
Snowboarding;2017/2018;IN;0;0;0;0;3;7
Dance/Drill;2017/2018;IN;0;0;0;0;3;7
Roller Hockey;2017/2018;IN;0;0;0;0;3;7
Adaptive Strength Training;2017/2018;IN;0;0;0;0;3;7
Pentathlon;2017/2018;IN;0;0;0;0;3;7
Crew;2017/2018;IN;0;0;0;0;3;7
Adapted Floor Hockey;2017/2018;IN;0;0;0;0;3;7
Rock Climbing;2017/2018;IN;0;0;0;0;3;7
Competitive Spirit Squad;2017/2018;IN;0;0;0;0;3;7
Bocce - Outdoor;2017/2018;IN;0;0;0;0;3;7
Skiing -- Alpine;2017/2018;IN;0;0;0;0;3;7
Archery;2017/2018;IN;0;0;0;0;3;7
Ultimate Frisbee;2017/2018;IN;0;0;0;0;3;7
DANCE;2017/2018;IN;0;0;0;0;3;7
Surfing;2017/2018;IN;0;0;0;0;3;7
Lacrosse;2017/2018;IN;0;0;0;0;3;7
Beach Volleyball;2017/2018;IN;0;0;0;0;3;7
Soft Tennis;2017/2018;IN;0;0;0;0;3;7
Dance Team, High Kick;2017/2018;IN;0;0;0;0;3;7
Riflery;2017/2018;IN;0;0;0;0;3;7
Decathlon;2017/2018;IN;0;0;0;0;3;7
Weight Lifting;2017/2018;IN;0;0;0;0;3;7
Heptathlon;2017/2018;IN;0;0;0;0;3;7
Adaptive Golf;2017/2018;IN;0;0;0;0;3;7
Trap Shooting;2017/2018;IN;0;0;0;0;3;7
Bass Fishing;2017/2018;IN;0;0;0;0;3;7
Adapted Volleyball;2017/2018;IN;0;0;0;0;3;7
Skiing -- Cross Country;2017/2018;IN;0;0;0;0;3;7
Cycling;2017/2018;IN;0;0;0;0;3;7
Adapted Basketball;2017/2018;IN;0;0;0;0;3;7
Mt. Biking;2017/2018;IN;0;0;0;0;3;7
Flag Football;2017/2018;IN;0;0;0;0;3;7
Football -- 9-player;2017/2018;IN;0;0;0;0;3;7
Mixed 6-Coed Volleyball;2017/2018;IN;0;0;0;0;3;7
Team Tennis;2017/2018;IN;0;0;0;0;3;7
Adaptive Handball;2017/2018;IN;0;0;0;0;3;7
Judo;2017/2018;IN;0;0;0;0;3;7
Water Polo;2017/2018;IN;0;0;0;0;3;7
Adapted Bowling;2017/2018;IN;0;0;0;0;3;7
Dance Team, Jazz;2017/2018;IN;0;0;0;0;3;7
Adapted Soccer;2017/2018;IN;0;0;0;0;3;7
Adapted Bocce - Indoor;2017/2018;IN;0;0;0;0;3;7
Adapted Track;2017/2018;IN;0;0;0;0;3;7
Badminton;2017/2018;IN;0;0;0;0;3;7
Football -- 6-player;2017/2018;IN;0;0;0;0;3;7
Canoe Paddling;2017/2018;IN;0;0;0;0;3;7
Fencing;2017/2018;IN;0;0;0;0;3;7
RUGBY;2017/2018;IN;0;0;0;0;3;7
Rythmic Gymnastics;2017/2018;IN;0;0;0;0;3;7
Synchronized Swimming;2017/2018;IN;0;0;0;0;3;7
Figure Skating;2017/2018;IN;0;0;0;0;3;7
Football -- 8-player;2017/2018;IN;0;0;0;0;3;7
Field Hockey;2017/2018;IN;0;0;0;0;3;7
Track and Field -- Indoor;2017/2018;IN;0;0;0;0;3;7
Adaptive Corn Toss;2017/2018;IN;0;0;0;0;3;7
Softball -- Slow Pitch;2017/2018;IN;0;0;0;0;3;7
sailing;2017/2018;IN;0;0;0;0;3;7
Sand Volleyball;2017/2018;IN;0;0;0;0;3;7
Ice Hockey;2017/2018;IN;0;0;0;0;3;7
Drill Team;2017/2018;IN;0;0;0;0;3;7
Bowling;2017/2018;IN;0;0;0;0;3;7
Adaptive Tennis;2017/2018;IN;0;0;0;0;3;7
Adapted Softball;2017/2018;IN;0;0;0;0;3;7
Air Riflery;2017/2018;IN;0;0;0;0;3;7
Volleyball;2017/2018;KS;8372;0;0,205649718;0;5;5
Track and Field -- Outdoor;2017/2018;KS;7171;9968;0,176148366;0,163853045;5;5
Basketball;2017/2018;KS;6625;8829;0,162736428;0,14513027;5;5
Softball -- Fast Pitch;2017/2018;KS;5035;0;0,123679686;0;5;5
Soccer;2017/2018;KS;3477;4251;0,08540899;0,069877538;5;5
Cross Country;2017/2018;KS;2898;3993;0,071186441;0,065636558;5;5
Tennis;2017/2018;KS;2647;2451;0,065020879;0,040289307;5;5
Swimming & Diving;2017/2018;KS;2076;1587;0,050994842;0,026086957;5;5
Golf;2017/2018;KS;1145;2621;0,028125768;0,043083751;5;5
Bowling;2017/2018;KS;884;964;0,021714566;0,015846141;5;5
Wrestling;2017/2018;KS;215;4710;0,005281258;0,077422536;5;5
Gymnastics;2017/2018;KS;127;0;0,003119627;0;5;5
Football -- 11-Player;2017/2018;KS;24;12792;0,000589536;0,210273691;5;5
Baseball;2017/2018;KS;11;6671;0,000270204;0,10965727;5;5
Football -- 8-player;2017/2018;KS;3;1998;7,3692E-05;0,032842936;5;5
Ultimate Frisbee;2017/2018;KS;0;0;0;0;5;5
Unified Flag Football;2017/2018;KS;0;0;0;0;5;5
Pentathlon;2017/2018;KS;0;0;0;0;5;5
Judo;2017/2018;KS;0;0;0;0;5;5
Team Tennis;2017/2018;KS;0;0;0;0;5;5
Water Polo;2017/2018;KS;0;0;0;0;5;5
Roller Hockey;2017/2018;KS;0;0;0;0;5;5
Squash;2017/2018;KS;0;0;0;0;5;5
Adaptive Strength Training;2017/2018;KS;0;0;0;0;5;5
Beach Volleyball;2017/2018;KS;0;0;0;0;5;5
Skiing -- Alpine;2017/2018;KS;0;0;0;0;5;5
Kayaking;2017/2018;KS;0;0;0;0;5;5
Crew;2017/2018;KS;0;0;0;0;5;5
Rodeo;2017/2018;KS;0;0;0;0;5;5
Adapted Basketball;2017/2018;KS;0;0;0;0;5;5
Badminton;2017/2018;KS;0;0;0;0;5;5
Flag Football;2017/2018;KS;0;0;0;0;5;5
RUGBY;2017/2018;KS;0;0;0;0;5;5
Adapted Floor Hockey;2017/2018;KS;0;0;0;0;5;5
Adaptive Handball;2017/2018;KS;0;0;0;0;5;5
Adapted Volleyball;2017/2018;KS;0;0;0;0;5;5
Archery;2017/2018;KS;0;0;0;0;5;5
Adapted Bocce - Indoor;2017/2018;KS;0;0;0;0;5;5
Adaptive Golf;2017/2018;KS;0;0;0;0;5;5
Adaptive Tennis;2017/2018;KS;0;0;0;0;5;5
Adapted Track;2017/2018;KS;0;0;0;0;5;5
Adapted Bowling;2017/2018;KS;0;0;0;0;5;5
Native Youth Olympics;2017/2018;KS;0;0;0;0;5;5
Lacrosse;2017/2018;KS;0;0;0;0;5;5
Rock Climbing;2017/2018;KS;0;0;0;0;5;5
Field Hockey;2017/2018;KS;0;0;0;0;5;5
Soft Tennis;2017/2018;KS;0;0;0;0;5;5
Skiing -- Cross Country;2017/2018;KS;0;0;0;0;5;5
Rythmic Gymnastics;2017/2018;KS;0;0;0;0;5;5
Synchronized Swimming;2017/2018;KS;0;0;0;0;5;5
Riflery;2017/2018;KS;0;0;0;0;5;5
Softball -- Slow Pitch;2017/2018;KS;0;0;0;0;5;5
Track and Field -- Indoor;2017/2018;KS;0;0;0;0;5;5
